id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:pDOP,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
244,-17650597,537899966,293490,3575,2022,11,14,14,37,20
245,-17650578,537899973,293492,3575,2022,11,14,14,37,21
246,-17650556,537899984,293493,3575,2022,11,14,14,37,22
247,-17650536,537899994,293494,3575,2022,11,14,14,37,23
248,-17650517,537900003,293495,3574,2022,11,14,14,37,24
249,-17650494,537900013,293496,3574,2022,11,14,14,37,25
250,-17650453,537900034,293497,3574,2022,11,14,14,37,27
251,-17650435,537900045,293497,3574,2022,11,14,14,37,28
252,-17650414,537900057,293498,3573,2022,11,14,14,37,29
253,-17650393,537900069,293498,3573,2022,11,14,14,37,30
254,-17650373,537900079,293499,3573,2022,11,14,14,37,31
255,-17650352,537900088,293500,3573,2022,11,14,14,37,32
256,-17650333,537900098,293501,3573,2022,11,14,14,37,33
257,-17650316,537900108,293503,3573,2022,11,14,14,37,34
258,-17650302,537900117,293504,3572,2022,11,14,14,37,35
259,-17650289,537900127,293505,3572,2022,11,14,14,37,36
260,-17650270,537900137,293506,3572,2022,11,14,14,37,37
261,-17650251,537900147,293505,3572,2022,11,14,14,37,38
262,-17650227,537900158,293505,3572,2022,11,14,14,37,39
263,-17650207,537900169,293503,3571,2022,11,14,14,37,40
264,-17650187,537900180,293501,3571,2022,11,14,14,37,41
265,-17650169,537900188,293499,3571,2022,11,14,14,37,42
266,-17650151,537900196,293498,3571,2022,11,14,14,37,43
267,-17650130,537900205,293496,3571,2022,11,14,14,37,44
268,-17650111,537900213,293495,3570,2022,11,14,14,37,45
269,-17650094,537900221,293494,3570,2022,11,14,14,37,46
270,-17650076,537900228,293494,3570,2022,11,14,14,37,47
271,-17650056,537900236,293494,3570,2022,11,14,14,37,48
272,-17650040,537900242,293496,3570,2022,11,14,14,37,49
273,-17650026,537900249,293498,3569,2022,11,14,14,37,50
274,-17650010,537900257,293500,3569,2022,11,14,14,37,51
275,-17649994,537900265,293503,3569,2022,11,14,14,37,52
276,-17649982,537900272,293505,3569,2022,11,14,14,37,53
277,-17649969,537900281,293507,3569,2022,11,14,14,37,54
278,-17649955,537900291,293508,3569,2022,11,14,14,37,55
279,-17649943,537900301,293509,3568,2022,11,14,14,37,56
280,-17649915,537900322,293510,3568,2022,11,14,14,37,58
281,-17649902,537900334,293511,3568,2022,11,14,14,37,59
282,-17649892,537900344,293511,3568,2022,11,14,14,38,0
283,-17649883,537900354,293512,3567,2022,11,14,14,38,1
284,-17649860,537900378,293516,3567,2022,11,14,14,38,3
285,-17649851,537900389,293518,3567,2022,11,14,14,38,4
286,-17649842,537900400,293522,3567,2022,11,14,14,38,5
287,-17649828,537900413,293525,3567,2022,11,14,14,38,6
288,-17649817,537900425,293529,3566,2022,11,14,14,38,7
289,-17649804,537900437,293532,3566,2022,11,14,14,38,8
290,-17649786,537900449,293536,3566,2022,11,14,14,38,9
291,-17649768,537900460,293540,3566,2022,11,14,14,38,10
292,-17649749,537900474,293543,3566,2022,11,14,14,38,11
293,-17649734,537900488,293546,3566,2022,11,14,14,38,12
294,-17649717,537900502,293549,3565,2022,11,14,14,38,13
295,-17649701,537900513,293551,3565,2022,11,14,14,38,14
296,-17649685,537900524,293553,3565,2022,11,14,14,38,15
297,-17649673,537900533,293555,3565,2022,11,14,14,38,16
298,-17649660,537900543,293557,3565,2022,11,14,14,38,17
299,-17649650,537900554,293558,3565,2022,11,14,14,38,18
300,-17649639,537900563,293560,3564,2022,11,14,14,38,19
301,-17649621,537900579,293563,3564,2022,11,14,14,38,21
302,-17649614,537900587,293563,3564,2022,11,14,14,38,22
303,-17649602,537900595,293564,3564,2022,11,14,14,38,23
304,-17649594,537900604,293563,3564,2022,11,14,14,38,24
305,-17649576,537900618,293561,3563,2022,11,14,14,38,26
306,-17649567,537900624,293560,3563,2022,11,14,14,38,27
307,-17649560,537900629,293557,3563,2022,11,14,14,38,28
308,-17649559,537900630,293554,3563,2022,11,14,14,38,29
309,-17649580,537900618,293550,3563,2022,11,14,14,38,30
310,-17649609,537900602,293546,3562,2022,11,14,14,38,31
311,-17649579,537900617,293543,3562,2022,11,14,14,38,32
312,-17649507,537900651,293541,3562,2022,11,14,14,38,33
313,-17649415,537900693,293539,3562,2022,11,14,14,38,34
314,-17649371,537900709,293538,9212,2022,11,14,14,38,35
315,-17649324,537900726,293537,9339,2022,11,14,14,38,36
316,-17649287,537900739,293537,9469,2022,11,14,14,38,37
317,-17649255,537900749,293537,9602,2022,11,14,14,38,38
318,-17649224,537900757,293538,9739,2022,11,14,14,38,39
319,-17649192,537900764,293539,9881,2022,11,14,14,38,40
320,-17649168,537900767,293540,9999,2022,11,14,14,38,41
321,-17649139,537900772,293541,9999,2022,11,14,14,38,42
322,-17649111,537900778,293542,9999,2022,11,14,14,38,43
323,-17648850,537900903,293542,3560,2022,11,14,14,38,44
324,-17648920,537900861,293542,3560,2022,11,14,14,38,45
325,-17648657,537900986,293541,3560,2022,11,14,14,38,46
326,-17648264,537901176,293541,3560,2022,11,14,14,38,47
327,-17648163,537901220,293540,3560,2022,11,14,14,38,48
328,-17648117,537901235,293540,3560,2022,11,14,14,38,49
329,-17648005,537901287,293539,3559,2022,11,14,14,38,50
330,-17647932,537901322,293538,3559,2022,11,14,14,38,51
331,-17647851,537901361,293538,3559,2022,11,14,14,38,52
332,-17647775,537901396,293538,3559,2022,11,14,14,38,53
333,-17647687,537901435,293537,3559,2022,11,14,14,38,54
334,-17647619,537901463,293537,3559,2022,11,14,14,38,55
335,-17647548,537901497,293536,3558,2022,11,14,14,38,56
336,-17647464,537901534,293535,3558,2022,11,14,14,38,57
337,-17647401,537901559,293535,3558,2022,11,14,14,38,58
338,-17647377,537901564,293535,3558,2022,11,14,14,38,59
339,-17647350,537901572,293536,3558,2022,11,14,14,39,0
340,-17647346,537901569,293538,3558,2022,11,14,14,39,1
341,-17647330,537901574,293539,3558,2022,11,14,14,39,2
342,-17647327,537901570,293541,3557,2022,11,14,14,39,3
343,-17647314,537901573,293543,3557,2022,11,14,14,39,4
344,-17647300,537901575,293545,3557,2022,11,14,14,39,5
345,-17647286,537901577,293547,3557,2022,11,14,14,39,6
346,-17647272,537901579,293550,3557,2022,11,14,14,39,7
347,-17647263,537901579,293552,3557,2022,11,14,14,39,8
348,-17647256,537901579,293556,3557,2022,11,14,14,39,9
349,-17647254,537901580,293563,3556,2022,11,14,14,39,10
350,-17647250,537901578,293569,3556,2022,11,14,14,39,11
351,-17647244,537901577,293574,3556,2022,11,14,14,39,12
352,-17647239,537901572,293578,3556,2022,11,14,14,39,13
353,-17647231,537901569,293583,3556,2022,11,14,14,39,14
354,-17647220,537901565,293587,3556,2022,11,14,14,39,15
355,-17647211,537901561,293591,3556,2022,11,14,14,39,16
356,-17647202,537901555,293595,3555,2022,11,14,14,39,17
357,-17647195,537901549,293599,3555,2022,11,14,14,39,18
358,-17647190,537901542,293603,3555,2022,11,14,14,39,19
359,-17647187,537901537,293608,3555,2022,11,14,14,39,20
360,-17647189,537901530,293614,3555,2022,11,14,14,39,21
361,-17647195,537901523,293620,3555,2022,11,14,14,39,22
362,-17647202,537901514,293626,3555,2022,11,14,14,39,23
363,-17647209,537901506,293632,3554,2022,11,14,14,39,24
364,-17647222,537901497,293639,3554,2022,11,14,14,39,25
365,-17647232,537901489,293646,3554,2022,11,14,14,39,26
366,-17647239,537901483,293653,3554,2022,11,14,14,39,27
367,-17647250,537901477,293659,3554,2022,11,14,14,39,28
368,-17647263,537901471,293664,3554,2022,11,14,14,39,29
369,-17647272,537901466,293671,3554,2022,11,14,14,39,30
370,-17647275,537901463,293677,3554,2022,11,14,14,39,31
371,-17647278,537901461,293684,3553,2022,11,14,14,39,32
372,-17647284,537901458,293690,3553,2022,11,14,14,39,33
373,-17647293,537901455,293696,3553,2022,11,14,14,39,34
374,-17647296,537901455,293701,3553,2022,11,14,14,39,35
375,-17647305,537901455,293713,3553,2022,11,14,14,39,37
376,-17647317,537901457,293722,3553,2022,11,14,14,39,38
377,-17647421,537901489,293430,258,2022,11,14,14,39,39
378,-17647512,537901517,293177,258,2022,11,14,14,39,40
379,-17647601,537901545,292927,258,2022,11,14,14,39,41
380,-17647689,537901578,292659,258,2022,11,14,14,39,42
381,-17647771,537901607,292411,258,2022,11,14,14,39,43
382,-17647847,537901638,292165,258,2022,11,14,14,39,44
383,-17647929,537901666,291901,258,2022,11,14,14,39,45
384,-17648004,537901697,291629,258,2022,11,14,14,39,46
385,-17648080,537901727,291356,258,2022,11,14,14,39,47
386,-17648167,537901763,291045,258,2022,11,14,14,39,48
387,-17648239,537901795,290776,258,2022,11,14,14,39,49
388,-17648313,537901825,290511,258,2022,11,14,14,39,50
389,-17648386,537901853,290238,258,2022,11,14,14,39,51
390,-17648469,537901885,289921,258,2022,11,14,14,39,52
391,-17648548,537901912,289631,258,2022,11,14,14,39,53
392,-17648635,537901943,289291,258,2022,11,14,14,39,54
393,-17648723,537901975,288941,258,2022,11,14,14,39,55
394,-17648805,537902007,288581,258,2022,11,14,14,39,56
395,-17648887,537902035,288225,258,2022,11,14,14,39,57
396,-17648964,537902063,287864,258,2022,11,14,14,39,58
397,-17649039,537902092,287500,258,2022,11,14,14,39,59
398,-17649117,537902120,287114,258,2022,11,14,14,40,0
399,-17649190,537902151,286717,258,2022,11,14,14,40,1
400,-17649258,537902180,286311,258,2022,11,14,14,40,2
401,-17649332,537902208,285883,258,2022,11,14,14,40,3
402,-17649395,537902234,285484,258,2022,11,14,14,40,4
403,-17649468,537902263,285026,258,2022,11,14,14,40,5
404,-17649544,537902292,284542,258,2022,11,14,14,40,6
405,-17649628,537902320,284037,258,2022,11,14,14,40,7
406,-17649706,537902348,283533,258,2022,11,14,14,40,8
407,-17649782,537902376,283018,258,2022,11,14,14,40,9
408,-17649871,537902406,282432,258,2022,11,14,14,40,10
409,-17649950,537902433,281877,258,2022,11,14,14,40,11
410,-17650043,537902460,281272,258,2022,11,14,14,40,12
411,-17650136,537902486,280665,258,2022,11,14,14,40,13
412,-17650232,537902509,280066,258,2022,11,14,14,40,14
413,-17650315,537902533,279496,258,2022,11,14,14,40,15
414,-17650393,537902556,278918,258,2022,11,14,14,40,16
415,-17650466,537902580,278339,258,2022,11,14,14,40,17
416,-17650557,537902603,277698,258,2022,11,14,14,40,18
417,-17650653,537902628,277023,258,2022,11,14,14,40,19
418,-17650753,537902652,276328,258,2022,11,14,14,40,20
419,-17650854,537902676,275605,258,2022,11,14,14,40,21
420,-17650961,537902698,274884,258,2022,11,14,14,40,22
421,-17651060,537902720,274173,258,2022,11,14,14,40,23
422,-17651154,537902743,273481,258,2022,11,14,14,40,24
423,-17651242,537902764,272830,258,2022,11,14,14,40,25
424,-17651326,537902781,272185,258,2022,11,14,14,40,26
425,-17651410,537902800,271534,258,2022,11,14,14,40,27
426,-17651494,537902819,270871,258,2022,11,14,14,40,28
427,-17651576,537902836,270217,258,2022,11,14,14,40,29
428,-17651664,537902855,269563,258,2022,11,14,14,40,30
429,-17651756,537902870,268911,258,2022,11,14,14,40,31
430,-17651803,537902880,268487,258,2022,11,14,14,40,32
431,-17651847,537902890,268054,258,2022,11,14,14,40,33
432,-17651895,537902900,267611,258,2022,11,14,14,40,34
433,-17651937,537902910,267209,258,2022,11,14,14,40,35
434,-17651991,537902917,266732,258,2022,11,14,14,40,36
435,-17652020,537902922,266450,258,2022,11,14,14,40,37
436,-17652061,537902929,266083,258,2022,11,14,14,40,38
437,-17652117,537902939,265596,258,2022,11,14,14,40,39
438,-17652207,537902958,264773,258,2022,11,14,14,40,40
439,-17652264,537902970,264259,258,2022,11,14,14,40,41
440,-17652323,537902981,263741,258,2022,11,14,14,40,42
441,-17652382,537902995,263169,258,2022,11,14,14,40,43
442,-17652451,537903010,262543,258,2022,11,14,14,40,44
443,-17652510,537903021,262011,258,2022,11,14,14,40,45
444,-17652571,537903030,261492,258,2022,11,14,14,40,46
445,-17652663,537903047,260401,258,2022,11,14,14,40,47
446,-17652694,537903058,259775,258,2022,11,14,14,40,48
447,-17652731,537903066,259134,258,2022,11,14,14,40,49
448,-17652838,537903085,257983,258,2022,11,14,14,40,50
449,-17652869,537903086,257462,258,2022,11,14,14,40,51
450,-17652898,537903090,256776,258,2022,11,14,14,40,52
451,-17652938,537903100,255978,258,2022,11,14,14,40,53
452,-17653060,537903091,254968,258,2022,11,14,14,40,54
453,-17653201,537903072,254026,258,2022,11,14,14,40,55
454,-17653246,537903090,253204,258,2022,11,14,14,40,56
455,-17653173,537903113,252985,257,2022,11,14,14,40,57
456,-17653158,537903137,252402,257,2022,11,14,14,40,58
457,-17653132,537903185,251605,257,2022,11,14,14,40,59
458,-17653118,537903236,250729,257,2022,11,14,14,41,0
